length,width,height,weight,size,pixels,apple_chip,Mediatek-chip,Exynos-chip,Snapdragon-chip,Unisoc-chip,other-chip,number_of_cores,apple-gpu,Adreno-gpu,mali-gpu,PowerVR-gpu,IMG-gpu,other-gpu,internal_memory,ram,5g,module-no,image-resolution,ios,battery,battery-wat,price
165.8,76.7,8.8,209.0,6.6,395,0,0,0,1,0,0,8,0,1,0,0,0,0,128,6,0,4,64,0,3220,30.0,6800000
164.9,77.1,9.0,194.0,6.53,269,0,1,0,0,0,0,8,0,0,0,1,0,0,64,3,0,1,13,0,5000,20,3726000
165.4,76.9,9.4,198.0,6.6,400,0,0,1,0,0,0,8,0,0,1,0,0,0,128,6,1,4,50,0,5000,25.0,6199000
165.7,76.9,9.3,206.0,6.67,395,0,0,0,0,0,0,8,0,0,1,0,0,0,128,4,0,4,48,0,5000,20,5650000
164.0,75.9,9.7,212.0,6.5,270,0,0,1,0,0,0,8,0,0,1,0,0,0,128,4,1,4,48,0,3220,15.0,4530000
164.0,75.8,8.9,205.0,6.5,264,0,1,0,0,0,0,8,0,0,0,1,0,0,64,4,0,4,48,0,3220,15.0,4299000
157.4,76.0,7.58,195.0,6.6,393,0,0,1,0,0,0,8,0,0,0,0,0,0,256,8,1,3,50,0,4500,45.0,35440000
160.5,73.8,8.8,171.0,6.57,392,0,1,0,0,0,0,1,0,0,1,0,0,0,128,8,0,4,64,0,4200,30.0,7649000
173.1,78.4,8.7,209.0,5.5,387,0,1,0,0,0,0,8,0,0,1,0,0,0,128,8,0,3,64,0,5000,33.0,6215000
163.7,75.3,8.9,192.0,6.5,270,0,0,1,0,0,0,8,0,0,1,0,0,0,64,4,0,4,48,0,3220,15.0,5800000
164.9,77.0,9.0,196.0,6.53,269,0,1,0,0,0,0,8,0,0,0,1,0,0,128,4,0,3,13,0,3220,10.0,3599000
161.4,76.3,9.0,197.0,6.4,268,0,0,0,1,0,0,8,0,1,0,0,0,0,32,3,0,3,0,0,3220,15.0,3790000
159.9,74.0,8.4,186.0,6.4,274,0,1,0,0,0,0,8,0,0,1,0,0,0,64,4,0,4,48,0,5000,25.0,4800000
